City,Population
Forrest,1177
Griggsville,1176
Albers,1174
St. Jacob,1169
Big Rock,1165
Shawneetown,1164
Warrensburg,1163
Windsor city,1162
Mitchell,1161
Divernon,1156
Kingston,1155
Malta,1152
Chatsworth,1151
Energy,1145
Wamac,1143
Cobden,1139
Royalton,1138
Danvers,1137
Martinsville,1135
Thomasboro,1133
Macon,1131
Central City,1129
Washburn,1128
Camp Point,1125
South Pekin,1120
Louisville and Assumption,1116
Blue Mound,1111
Lovington and Nauvoo,1108
Bull Valley,1104
Gifford,1092
Astoria,1086
Rosiclare and Flanagan,1082
Stillman Valley,1072
Goreville,1062
Edinburg,1051
Colfax,1046
Odin,1040
Lily Lake,1032
Morrisonville and Worden,1028
Ramsey,1026
Newark,1025
Sheldon,1024
Chebanse,1023
McCullom Lake,1021
Greenfield,1020
Meredosia,1018
Beckemeyer,1016
Wayne City,1012
Payson,1011
Glasford,1003
Odell,1000
The Galena Territory,996
Wenona,995
Mazon,989
Downs,988
Milledgeville,983
Roseville,980
Raymond,977
Rapids City,968
Franklin Grove,967
Harrison,957
Wyanet,956
Coyne Center,953
Timberlane,949
Atkinson,948
Goodfield,945
Leland,943
Mendon,942
Pleasant Hill,941
Marine,935
Hardin,934
Shabbona,933
Percy and Brookport,930
Clay City,929
Viola,924
Galatia,917
Ashton,916
Coulterville,913
Argenta,912
Dallas City,910
Elkville,904
Tilden,893
Sheffield,892
Stonington and Albany,890
Oakland,881
Illiopolis,880
West Salem and Witt,872
Mansfield,870
Spaulding,869
Annawan,858
Newman and Brimfield,854
Ridge Farm,853
Hopedale,843
Oreana and Stronghurst,837
Livingston,827
Ringwood,823
Paw Paw,821
Wataga and Ridgway,816
McLean,815
Hanover,814
Cissna Park,812
Alexis,809
Ogden and Hamel,806
Pearl City,805
Pleasant Plains,804
Hurst,797
East Galesburg,796
Piper City and Tiskilwa,791
Woodhull,788
Kinmundy,772
Essex,770
Braceville,769
Ashmore,766
Tampico,759
Avon,757
Orangeville,756
Loami,754
Greenview and Elizabeth,749
Brownstown,747
"Pocahontas, Clayton, Mounds, and Watson",745
Kansas,744
Tonica,738
Ashkum,737
Bradford,736
Crossville,724
Potomac,721
Cedarville and Stewardson,716
Brooklyn,715
"Aroma Park, Shannon, and Dongola",712
Windsor,711
Kirkwood,704
Farmersville,703
La Moille,701
Olive Branch and Hennepin,698
Woodlawn,693
Forest View,692
Green Valley,685
Saybrook and Matherville,684
Deer Creek,682
"Godley, Oneida, Dalzell, and Thayer",681
Bluffs,677
Evansville,675
Palmyra,674
"Niantic, Taylor Springs, and Bluford",673
New Milford,671
Yates City,670
Noble,668
Millington and Coffeen,665
"Alhambra, South Wilmington, and St. Francisville",661
Cordova,660
Cisne and Valier,659
West City,654
"New Boston, Grafton, and Findlay",653
Lost Nation,650
Creston,649
Alpha,648
Vermont,646
Davis,642
"Ava, Golden, and Burlington",637
Irvington,636
Elsah,632
Mechanicsburg and Golconda,629
Lake Petersburg,628
Lyndon,626
Ursa,623
Fairmount and Blandinsville,620
San Jose,614
Tamaroa,613
Dieterich and Sherrard,609
Willisville,608
Hopkins Park,605
Shipman,603
Bartelso,601
"Crescent City, North City, and Mulberry Grove",598
Franklin,597
St. Libory,596
Holiday Hills and Sidell,592
Tower Hill,590
Grand Tower,588
Cowden,583
Stanford and Keithsburg,582
Westfield and Enfield,580
Mettawa and Danforth,578
Bedford Park,577
Prairie du Rocher,574
Andover,573
Murrayville and Oak Grove,572
Schram City,570
Buckley,569
"Patoka, Augusta, and Wilsonville",566
Pierron,565
Thomson,562
Williamsfield,560
Pittsburg,559
Union,558
Equality,556
"Bismarck, St. David, and Carlock",555
Tamms,550
Grand Detour,548
Makanda and Hutsonville,545
Mound City and Pesotum,544
Indian Creek,543
Wapella,542
Rankin,539
Thompsonville,536
"Grand Ridge, Mark, and Creal Springs",532
Trout Valley and Cullom,529
Dalton City,527
Chadwick,526
Chandlerville,523
Reynolds and Buda,519
Sun River Terrace,518
Liberty,513
Farina,512
Altona,511
Hoyleton and Hillsdale,510
Ashley,507
Dahlgren,506
Golf,504
Oak Run,499
Chapin and Woodson,498
Congerville,497
Dawson,496
Ohio and Damiansville,495
Hoffman,494
Lenzburg and Kaneville,492
Dayton,491
Buffalo,490
Tovey and Fairview,489
Hecker,488
Plymouth,485
Naplate,484
Hammond and Lostant,483
Tallula and Irving,481
"Bowen, Dakota, and Towanda",478
Georgetown,477
Norwood,475
Emden,474
East Carondelet,473
Iuka,472
Fithian,471
Sorento,470
Cherry,465
Versailles,464
"Spring Bay, Junction City, and Mount Auburn",462
Allendale,460
Karnak,458
Industry and Dix,457
